{'start_epoch': 1658023203, 'end_epoch': 1658023444, 'buy_price': 21153.86, 'sell_price': 21134.43, 'profit': -0.00092, 'trail_stop': None}
{'start_epoch': 1658023863, 'end_epoch': 1658024343, 'buy_price': 21140.8, 'sell_price': 21149.26, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658024581, 'end_epoch': 1658025304, 'buy_price': 21179.66, 'sell_price': 21188.13, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658030704, 'end_epoch': 1658031124, 'buy_price': 21331.96, 'sell_price': 21340.49, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658039283, 'end_epoch': 1658039763, 'buy_price': 21418.89, 'sell_price': 21427.46, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658039883, 'end_epoch': 1658040425, 'buy_price': 21430.48, 'sell_price': 21439.05, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658040722, 'end_epoch': 1658041281, 'buy_price': 21499.99, 'sell_price': 21508.59, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658041744, 'end_epoch': 1658042284, 'buy_price': 21594.08, 'sell_price': 21602.72, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658043182, 'end_epoch': 1658043603, 'buy_price': 21557.45, 'sell_price': 21566.07, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658050685, 'end_epoch': 1658050922, 'buy_price': 21338.85, 'sell_price': 21347.39, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1658051945, 'end_epoch': 1658052423, 'buy_price': 21367.15, 'sell_price': 21375.7, 'profit': 0.0004, 'trail_stop': None}
